Country,L1Name,L2Name,number_of_urban_patches,patch_density,area_weigthed_mean_shape_index,area_weigthed_mean_nearest_neighbor,effective_mesh_size,area_weighted_mean_patch_size,Circuity_average,intersection_density,street_density,street_length_average,streets_per_node_average,urb_perfil,stt_perfil,area,population_density,CentLatitude,CentLongitude
Argentina,San Luis,La Capital,492,0.0377,4.0074,113.7211,4.142,1268.2123,1.05987352049742,0.52381262307918,193.330935346742,214.558330215927,3.14586666666666,1,6,13086.7407503537,4913.415495,-33.8182525990167,-66.5121309887669
Brasil,Nova Friburgo,NOVA FRIBURGO,295,0.3161,4.2603,98.5131,2.8495,203.038,1.24170049807698,3.87251605704723,1652.39328635133,234.386821440039,2.31612112725363,1,3,937.891527496821,13975.8567,-22.3198077705392,-42.5014968214832
Chile,Valparaiso-Vina del Mar,CONCÓN,62,0.81,5.3674,65.395,62.1986,603.8327,1.09280983511396,15.0872939506985,2946.91127199366,115.089256402502,2.8975859546452,4,4,76.8196075311662,5366.713592,-32.9515847531268,-71.4674071570054
Brasil,Campinas,CAMPINAS,954,1.201,6.0134,65.8556,1467.244,5742.3065,1.05317394562402,32.3803580891455,6099.34546059172,112.041353178293,2.98930757065254,3,1,798.169060664702,5479.368232,-22.8837602324411,-47.0437820267224
Peru,Arequipa,TIABAYA,19,0.5114,2.7453,149.8143,0.9979,35.6021,1.09514100466563,14.3722106993047,2217.9993324501,88.9193356030847,2.68039772727272,5,4,37.3637717422258,14397.38788,-16.4634522843765,-71.5990135276337
Peru,Lima,SAN MARTIN DE PORRES,5,0.1364,2.8806,240.9955,2765.5,3178.8109,1.02365631074327,184.969718488248,22839.3068120036,76.6472020196213,3.17372700042789,2,5,36.881712616292,19847.17362,-11.9924691486969,-77.0883980433513
Guatemala,Quetzaltenango,Quetzaltego,212,1.6726,6.1532,63.0932,406.4156,1827.6307,1.07458303602994,27.7916460114558,4815.77771009073,98.2501036436226,2.72213773625896,2,1,127.592298726686,5505.100657,14.8154651005056,-91.5333391243581
Chile,Valparaiso-Vina del Mar,VALPARAÍSO,135,0.4348,3.8805,73.6746,31.145,498.0575,1.11361937280505,15.2047268758795,2856.90823830243,106.256639581478,2.62803939673745,1,4,317.664371049123,15074.70066,-33.0070894419601,-71.7241294672396
Mexico,Mexico City,La Paz,15,0.4094,2.5228,60.5955,1601.3586,2391.902,1.02523284692985,72.934455542467,12013.162053923,95.389342295798,2.81677111310056,2,5,36.8275869069323,10354.9864,19.3610186171338,-98.9476985709996
Brasil,Anapolis,AN0POLIS,383,0.4106,7.0107,72.8118,315.8039,4133.7089,1.03995797221109,11.5754277249077,2370.32806675106,121.827183018895,3.11856594110115,2,4,938.45344277216,4813.935442,-16.2905872519214,-48.9735964632829
Brasil,Pelotas,PELOTAS,373,0.2318,6.3068,130.2858,96.3427,3050.0765,1.07843983739991,3.79879301803637,1348.36962407809,202.907094531895,2.97457510017963,2,2,1614.98664730389,6653.546637,-31.58116767948,-52.3411558314504
